Date,Open,High,Low,Close,Adj.Close,Volume
2017-12-07,2630.500000,2641.250000,2626.250000,2639.500000,2639.500000,1307666
2017-12-08,2639.500000,2652.500000,2637.750000,2651.000000,2651.000000,1345485
2017-12-10,null,null,null,null,null,null
2017-12-11,2652.000000,2664.750000,2649.250000,2661.500000,2661.500000,1154864
2017-12-12,2662.750000,2670.250000,2660.500000,2665.000000,2665.000000,1266601
2017-12-13,2665.500000,2672.500000,2656.750000,2666.500000,2666.500000,1032184
2017-12-14,2665.500000,2670.750000,2649.250000,2653.250000,2653.250000,758320
2017-12-15,2650.000000,2667.250000,2650.000000,2666.750000,2666.750000,473836
2017-12-17,null,null,null,null,null,null
2017-12-18,2683.000000,2698.000000,2682.500000,2694.500000,2694.500000,1410847
2017-12-19,2695.000000,2698.000000,2682.500000,2684.000000,2684.000000,1040769
2017-12-20,2684.750000,2695.500000,2679.000000,2681.500000,2681.500000,980483
2017-12-21,2681.500000,2696.000000,2680.750000,2687.750000,2687.750000,981223
2017-12-22,2686.750000,2691.500000,2682.250000,2686.000000,2686.000000,853748
2017-12-24,null,null,null,null,null,null
2017-12-26,2686.750000,2689.500000,2683.500000,2687.000000,2687.000000,360430
2017-12-27,2687.500000,2691.000000,2681.500000,2685.500000,2685.500000,376101
2017-12-28,2684.000000,2689.000000,2683.000000,2685.750000,2685.750000,666329
2017-12-29,2684.750000,2698.250000,2667.750000,2676.000000,2676.000000,535624
